delta = 0.000000  ,  alpha = 0.100000 ---- MSE = 0.002307
delta = 0.000000  ,  alpha = 0.050000 ---- MSE = 0.002688
delta = 0.000000  ,  alpha = 0.010000 ---- MSE = 0.006192
delta = 0.000000  ,  alpha = 0.005000 ---- MSE = 0.014982
delta = 0.000000  ,  alpha = 0.001000 ---- MSE = 0.035032
delta = 0.000000  ,  alpha = 0.000500 ---- MSE = 0.041504
delta = 0.000000  ,  alpha = 0.000100 ---- MSE = 0.061720
delta = 0.000000  ,  alpha = 0.000050 ---- MSE = 0.068066
delta = 0.000000  ,  alpha = 0.000010 ---- MSE = 0.074564
delta = 0.100000  ,  alpha = 0.100000 ---- MSE = 0.003175
delta = 0.100000  ,  alpha = 0.050000 ---- MSE = 0.004505
delta = 0.100000  ,  alpha = 0.010000 ---- MSE = 0.029788
delta = 0.100000  ,  alpha = 0.005000 ---- MSE = 0.061246
delta = 0.100000  ,  alpha = 0.001000 ---- MSE = 0.148981
delta = 0.100000  ,  alpha = 0.000500 ---- MSE = 0.211812
delta = 0.100000  ,  alpha = 0.000100 ---- MSE = 0.413135
delta = 0.100000  ,  alpha = 0.000050 ---- MSE = 0.471311
delta = 0.100000  ,  alpha = 0.000010 ---- MSE = 0.529096
delta = 0.050000  ,  alpha = 0.100000 ---- MSE = 0.002504
delta = 0.050000  ,  alpha = 0.050000 ---- MSE = 0.003095
delta = 0.050000  ,  alpha = 0.010000 ---- MSE = 0.015308
delta = 0.050000  ,  alpha = 0.005000 ---- MSE = 0.033898
delta = 0.050000  ,  alpha = 0.001000 ---- MSE = 0.081578
delta = 0.050000  ,  alpha = 0.000500 ---- MSE = 0.109094
delta = 0.050000  ,  alpha = 0.000100 ---- MSE = 0.196387
delta = 0.050000  ,  alpha = 0.000050 ---- MSE = 0.222095
delta = 0.050000  ,  alpha = 0.000010 ---- MSE = 0.247828
delta = 0.010000  ,  alpha = 0.100000 ---- MSE = 0.002308
delta = 0.010000  ,  alpha = 0.050000 ---- MSE = 0.002689
delta = 0.010000  ,  alpha = 0.010000 ---- MSE = 0.007586
delta = 0.010000  ,  alpha = 0.005000 ---- MSE = 0.018091
delta = 0.010000  ,  alpha = 0.001000 ---- MSE = 0.042673
delta = 0.010000  ,  alpha = 0.000500 ---- MSE = 0.052211
delta = 0.010000  ,  alpha = 0.000100 ---- MSE = 0.082087
delta = 0.010000  ,  alpha = 0.000050 ---- MSE = 0.091257
delta = 0.010000  ,  alpha = 0.000010 ---- MSE = 0.100576
delta = 0.005000  ,  alpha = 0.100000 ---- MSE = 0.002305
delta = 0.005000  ,  alpha = 0.050000 ---- MSE = 0.002683
delta = 0.005000  ,  alpha = 0.010000 ---- MSE = 0.006862
delta = 0.005000  ,  alpha = 0.005000 ---- MSE = 0.016494
delta = 0.005000  ,  alpha = 0.001000 ---- MSE = 0.038748
delta = 0.005000  ,  alpha = 0.000500 ---- MSE = 0.046682
delta = 0.005000  ,  alpha = 0.000100 ---- MSE = 0.071493
delta = 0.005000  ,  alpha = 0.000050 ---- MSE = 0.079186
delta = 0.005000  ,  alpha = 0.000010 ---- MSE = 0.087030
delta = 0.001000  ,  alpha = 0.100000 ---- MSE = 0.002306
delta = 0.001000  ,  alpha = 0.050000 ---- MSE = 0.002686
delta = 0.001000  ,  alpha = 0.010000 ---- MSE = 0.006322
delta = 0.001000  ,  alpha = 0.005000 ---- MSE = 0.015278
delta = 0.001000  ,  alpha = 0.001000 ---- MSE = 0.035759
delta = 0.001000  ,  alpha = 0.000500 ---- MSE = 0.042511
delta = 0.001000  ,  alpha = 0.000100 ---- MSE = 0.063609
delta = 0.001000  ,  alpha = 0.000050 ---- MSE = 0.070214
delta = 0.001000  ,  alpha = 0.000010 ---- MSE = 0.076971
delta = 0.000500  ,  alpha = 0.100000 ---- MSE = 0.002306
delta = 0.000500  ,  alpha = 0.050000 ---- MSE = 0.002687
delta = 0.000500  ,  alpha = 0.010000 ---- MSE = 0.006257
delta = 0.000500  ,  alpha = 0.005000 ---- MSE = 0.015129
delta = 0.000500  ,  alpha = 0.001000 ---- MSE = 0.035394
delta = 0.000500  ,  alpha = 0.000500 ---- MSE = 0.042006
delta = 0.000500  ,  alpha = 0.000100 ---- MSE = 0.062661
delta = 0.000500  ,  alpha = 0.000050 ---- MSE = 0.069135
delta = 0.000500  ,  alpha = 0.000010 ---- MSE = 0.075762
delta = 0.000100  ,  alpha = 0.100000 ---- MSE = 0.002307
delta = 0.000100  ,  alpha = 0.050000 ---- MSE = 0.002688
delta = 0.000100  ,  alpha = 0.010000 ---- MSE = 0.006205
delta = 0.000100  ,  alpha = 0.005000 ---- MSE = 0.015011
delta = 0.000100  ,  alpha = 0.001000 ---- MSE = 0.035104
delta = 0.000100  ,  alpha = 0.000500 ---- MSE = 0.041604
delta = 0.000100  ,  alpha = 0.000100 ---- MSE = 0.061908
delta = 0.000100  ,  alpha = 0.000050 ---- MSE = 0.068279
delta = 0.000100  ,  alpha = 0.000010 ---- MSE = 0.074803
delta = 0.000050  ,  alpha = 0.100000 ---- MSE = 0.002307
delta = 0.000050  ,  alpha = 0.050000 ---- MSE = 0.002688
delta = 0.000050  ,  alpha = 0.010000 ---- MSE = 0.006199
delta = 0.000050  ,  alpha = 0.005000 ---- MSE = 0.014997
delta = 0.000050  ,  alpha = 0.001000 ---- MSE = 0.035068
delta = 0.000050  ,  alpha = 0.000500 ---- MSE = 0.041554
delta = 0.000050  ,  alpha = 0.000100 ---- MSE = 0.061814
delta = 0.000050  ,  alpha = 0.000050 ---- MSE = 0.068173
delta = 0.000050  ,  alpha = 0.000010 ---- MSE = 0.074683
delta = 0.000010  ,  alpha = 0.100000 ---- MSE = 0.002307
delta = 0.000010  ,  alpha = 0.050000 ---- MSE = 0.002688
delta = 0.000010  ,  alpha = 0.010000 ---- MSE = 0.006193
delta = 0.000010  ,  alpha = 0.005000 ---- MSE = 0.014985
delta = 0.000010  ,  alpha = 0.001000 ---- MSE = 0.035039
delta = 0.000010  ,  alpha = 0.000500 ---- MSE = 0.041514
delta = 0.000010  ,  alpha = 0.000100 ---- MSE = 0.061739
delta = 0.000010  ,  alpha = 0.000050 ---- MSE = 0.068087
delta = 0.000010  ,  alpha = 0.000010 ---- MSE = 0.074588

Minimum error at alpha = 0.100000 ,  delta = 0.005000 --- MSE = 0.002305
