delta = 0.000000  ,  alpha = 0.100000 ---- MSE = 0.002191
delta = 0.000000  ,  alpha = 0.050000 ---- MSE = 0.002474
delta = 0.000000  ,  alpha = 0.010000 ---- MSE = 0.007831
delta = 0.000000  ,  alpha = 0.005000 ---- MSE = 0.014649
delta = 0.000000  ,  alpha = 0.001000 ---- MSE = 0.034514
delta = 0.000000  ,  alpha = 0.000500 ---- MSE = 0.041485
delta = 0.000000  ,  alpha = 0.000100 ---- MSE = 0.061719
delta = 0.000000  ,  alpha = 0.000050 ---- MSE = 0.068051
delta = 0.000000  ,  alpha = 0.000010 ---- MSE = 0.074557
delta = 0.100000  ,  alpha = 0.100000 ---- MSE = 0.002152
delta = 0.100000  ,  alpha = 0.050000 ---- MSE = 0.002604
delta = 0.100000  ,  alpha = 0.010000 ---- MSE = 0.008935
delta = 0.100000  ,  alpha = 0.005000 ---- MSE = 0.016138
delta = 0.100000  ,  alpha = 0.001000 ---- MSE = 0.035983
delta = 0.100000  ,  alpha = 0.000500 ---- MSE = 0.043074
delta = 0.100000  ,  alpha = 0.000100 ---- MSE = 0.062728
delta = 0.100000  ,  alpha = 0.000050 ---- MSE = 0.068666
delta = 0.100000  ,  alpha = 0.000010 ---- MSE = 0.074703
delta = 0.050000  ,  alpha = 0.100000 ---- MSE = 0.002165
delta = 0.050000  ,  alpha = 0.050000 ---- MSE = 0.002529
delta = 0.050000  ,  alpha = 0.010000 ---- MSE = 0.008379
delta = 0.050000  ,  alpha = 0.005000 ---- MSE = 0.015399
delta = 0.050000  ,  alpha = 0.001000 ---- MSE = 0.035259
delta = 0.050000  ,  alpha = 0.000500 ---- MSE = 0.042292
delta = 0.050000  ,  alpha = 0.000100 ---- MSE = 0.062236
delta = 0.050000  ,  alpha = 0.000050 ---- MSE = 0.068366
delta = 0.050000  ,  alpha = 0.000010 ---- MSE = 0.074632
delta = 0.010000  ,  alpha = 0.100000 ---- MSE = 0.002185
delta = 0.010000  ,  alpha = 0.050000 ---- MSE = 0.002483
delta = 0.010000  ,  alpha = 0.010000 ---- MSE = 0.007940
delta = 0.010000  ,  alpha = 0.005000 ---- MSE = 0.014800
delta = 0.010000  ,  alpha = 0.001000 ---- MSE = 0.034664
delta = 0.010000  ,  alpha = 0.000500 ---- MSE = 0.041649
delta = 0.010000  ,  alpha = 0.000100 ---- MSE = 0.061825
delta = 0.010000  ,  alpha = 0.000050 ---- MSE = 0.068115
delta = 0.010000  ,  alpha = 0.000010 ---- MSE = 0.074572
delta = 0.005000  ,  alpha = 0.100000 ---- MSE = 0.002188
delta = 0.005000  ,  alpha = 0.050000 ---- MSE = 0.002478
delta = 0.005000  ,  alpha = 0.010000 ---- MSE = 0.007886
delta = 0.005000  ,  alpha = 0.005000 ---- MSE = 0.014725
delta = 0.005000  ,  alpha = 0.001000 ---- MSE = 0.034589
delta = 0.005000  ,  alpha = 0.000500 ---- MSE = 0.041567
delta = 0.005000  ,  alpha = 0.000100 ---- MSE = 0.061772
delta = 0.005000  ,  alpha = 0.000050 ---- MSE = 0.068083
delta = 0.005000  ,  alpha = 0.000010 ---- MSE = 0.074565
delta = 0.001000  ,  alpha = 0.100000 ---- MSE = 0.002191
delta = 0.001000  ,  alpha = 0.050000 ---- MSE = 0.002475
delta = 0.001000  ,  alpha = 0.010000 ---- MSE = 0.007842
delta = 0.001000  ,  alpha = 0.005000 ---- MSE = 0.014664
delta = 0.001000  ,  alpha = 0.001000 ---- MSE = 0.034529
delta = 0.001000  ,  alpha = 0.000500 ---- MSE = 0.041502
delta = 0.001000  ,  alpha = 0.000100 ---- MSE = 0.061730
delta = 0.001000  ,  alpha = 0.000050 ---- MSE = 0.068058
delta = 0.001000  ,  alpha = 0.000010 ---- MSE = 0.074559
delta = 0.000500  ,  alpha = 0.100000 ---- MSE = 0.002191
delta = 0.000500  ,  alpha = 0.050000 ---- MSE = 0.002474
delta = 0.000500  ,  alpha = 0.010000 ---- MSE = 0.007837
delta = 0.000500  ,  alpha = 0.005000 ---- MSE = 0.014657
delta = 0.000500  ,  alpha = 0.001000 ---- MSE = 0.034521
delta = 0.000500  ,  alpha = 0.000500 ---- MSE = 0.041493
delta = 0.000500  ,  alpha = 0.000100 ---- MSE = 0.061725
delta = 0.000500  ,  alpha = 0.000050 ---- MSE = 0.068054
