delta = 0.000000  ,  alpha = 0.100000 ---- MSE = 0.002307
delta = 0.000000  ,  alpha = 0.050000 ---- MSE = 0.002688
delta = 0.000000  ,  alpha = 0.010000 ---- MSE = 0.006192
delta = 0.000000  ,  alpha = 0.005000 ---- MSE = 0.014982
delta = 0.000000  ,  alpha = 0.001000 ---- MSE = 0.035032
delta = 0.000000  ,  alpha = 0.000500 ---- MSE = 0.041504
delta = 0.000000  ,  alpha = 0.000100 ---- MSE = 0.061720
delta = 0.000000  ,  alpha = 0.000050 ---- MSE = 0.068066
delta = 0.000000  ,  alpha = 0.000010 ---- MSE = 0.074564
delta = 0.100000  ,  alpha = 0.100000 ---- MSE = 0.002272
delta = 0.100000  ,  alpha = 0.050000 ---- MSE = 0.002584
delta = 0.100000  ,  alpha = 0.010000 ---- MSE = 0.007380
delta = 0.100000  ,  alpha = 0.005000 ---- MSE = 0.016569
delta = 0.100000  ,  alpha = 0.001000 ---- MSE = 0.036455
delta = 0.100000  ,  alpha = 0.000500 ---- MSE = 0.043087
delta = 0.100000  ,  alpha = 0.000100 ---- MSE = 0.062730
delta = 0.100000  ,  alpha = 0.000050 ---- MSE = 0.068681
delta = 0.100000  ,  alpha = 0.000010 ---- MSE = 0.074709
delta = 0.050000  ,  alpha = 0.100000 ---- MSE = 0.002287
delta = 0.050000  ,  alpha = 0.050000 ---- MSE = 0.002625
delta = 0.050000  ,  alpha = 0.010000 ---- MSE = 0.006778
delta = 0.050000  ,  alpha = 0.005000 ---- MSE = 0.015783
delta = 0.050000  ,  alpha = 0.001000 ---- MSE = 0.035754
delta = 0.050000  ,  alpha = 0.000500 ---- MSE = 0.042308
delta = 0.050000  ,  alpha = 0.000100 ---- MSE = 0.062237
delta = 0.050000  ,  alpha = 0.000050 ---- MSE = 0.068381
delta = 0.050000  ,  alpha = 0.000010 ---- MSE = 0.074639
delta = 0.010000  ,  alpha = 0.100000 ---- MSE = 0.002302
delta = 0.010000  ,  alpha = 0.050000 ---- MSE = 0.002674
delta = 0.010000  ,  alpha = 0.010000 ---- MSE = 0.006308
delta = 0.010000  ,  alpha = 0.005000 ---- MSE = 0.015143
delta = 0.010000  ,  alpha = 0.001000 ---- MSE = 0.035178
delta = 0.010000  ,  alpha = 0.000500 ---- MSE = 0.041666
delta = 0.010000  ,  alpha = 0.000100 ---- MSE = 0.061826
delta = 0.010000  ,  alpha = 0.000050 ---- MSE = 0.068131
delta = 0.010000  ,  alpha = 0.000010 ---- MSE = 0.074579
delta = 0.005000  ,  alpha = 0.100000 ---- MSE = 0.002304
delta = 0.005000  ,  alpha = 0.050000 ---- MSE = 0.002681
delta = 0.005000  ,  alpha = 0.010000 ---- MSE = 0.006250
delta = 0.005000  ,  alpha = 0.005000 ---- MSE = 0.015063
delta = 0.005000  ,  alpha = 0.001000 ---- MSE = 0.035105
delta = 0.005000  ,  alpha = 0.000500 ---- MSE = 0.041585
delta = 0.005000  ,  alpha = 0.000100 ---- MSE = 0.061773
delta = 0.005000  ,  alpha = 0.000050 ---- MSE = 0.068098
delta = 0.005000  ,  alpha = 0.000010 ---- MSE = 0.074572
delta = 0.001000  ,  alpha = 0.100000 ---- MSE = 0.002306
delta = 0.001000  ,  alpha = 0.050000 ---- MSE = 0.002686
delta = 0.001000  ,  alpha = 0.010000 ---- MSE = 0.006204
delta = 0.001000  ,  alpha = 0.005000 ---- MSE = 0.014998
delta = 0.001000  ,  alpha = 0.001000 ---- MSE = 0.035047
delta = 0.001000  ,  alpha = 0.000500 ---- MSE = 0.041520
delta = 0.001000  ,  alpha = 0.000100 ---- MSE = 0.061731
delta = 0.001000  ,  alpha = 0.000050 ---- MSE = 0.068073
delta = 0.001000  ,  alpha = 0.000010 ---- MSE = 0.074566
delta = 0.000500  ,  alpha = 0.100000 ---- MSE = 0.002307
delta = 0.000500  ,  alpha = 0.050000 ---- MSE = 0.002687
delta = 0.000500  ,  alpha = 0.010000 ---- MSE = 0.006198
delta = 0.000500  ,  alpha = 0.005000 ---- MSE = 0.014990
delta = 0.000500  ,  alpha = 0.001000 ---- MSE = 0.035039
delta = 0.000500  ,  alpha = 0.000500 ---- MSE = 0.041512
delta = 0.000500  ,  alpha = 0.000100 ---- MSE = 0.061725
delta = 0.000500  ,  alpha = 0.000050 ---- MSE = 0.068069
delta = 0.000500  ,  alpha = 0.000010 ---- MSE = 0.074565
delta = 0.000100  ,  alpha = 0.100000 ---- MSE = 0.002307
delta = 0.000100  ,  alpha = 0.050000 ---- MSE = 0.002688
delta = 0.000100  ,  alpha = 0.010000 ---- MSE = 0.006193
delta = 0.000100  ,  alpha = 0.005000 ---- MSE = 0.014983
delta = 0.000100  ,  alpha = 0.001000 ---- MSE = 0.035034
delta = 0.000100  ,  alpha = 0.000500 ---- MSE = 0.041505
delta = 0.000100  ,  alpha = 0.000100 ---- MSE = 0.061721
delta = 0.000100  ,  alpha = 0.000050 ---- MSE = 0.068067
delta = 0.000100  ,  alpha = 0.000010 ---- MSE = 0.074564
delta = 0.000050  ,  alpha = 0.100000 ---- MSE = 0.002307
delta = 0.000050  ,  alpha = 0.050000 ---- MSE = 0.002688
delta = 0.000050  ,  alpha = 0.010000 ---- MSE = 0.006193
delta = 0.000050  ,  alpha = 0.005000 ---- MSE = 0.014983
delta = 0.000050  ,  alpha = 0.001000 ---- MSE = 0.035033
delta = 0.000050  ,  alpha = 0.000500 ---- MSE = 0.041504
delta = 0.000050  ,  alpha = 0.000100 ---- MSE = 0.061721
delta = 0.000050  ,  alpha = 0.000050 ---- MSE = 0.068067
delta = 0.000050  ,  alpha = 0.000010 ---- MSE = 0.074564
delta = 0.000010  ,  alpha = 0.100000 ---- MSE = 0.002307
delta = 0.000010  ,  alpha = 0.050000 ---- MSE = 0.002688
delta = 0.000010  ,  alpha = 0.010000 ---- MSE = 0.006192
delta = 0.000010  ,  alpha = 0.005000 ---- MSE = 0.014982
delta = 0.000010  ,  alpha = 0.001000 ---- MSE = 0.035032
delta = 0.000010  ,  alpha = 0.000500 ---- MSE = 0.041504
delta = 0.000010  ,  alpha = 0.000100 ---- MSE = 0.061720
delta = 0.000010  ,  alpha = 0.000050 ---- MSE = 0.068066
delta = 0.000010  ,  alpha = 0.000010 ---- MSE = 0.074564

Minimum error at alpha = 0.100000 ,  delta = 0.100000 --- MSE = 0.002272 
