delta = 0.000000  ,  alpha = 0.100000 ---- MSE = 0.000043
delta = 0.000000  ,  alpha = 0.050000 ---- MSE = 0.000076
delta = 0.000000  ,  alpha = 0.010000 ---- MSE = 0.000251
delta = 0.000000  ,  alpha = 0.005000 ---- MSE = 0.000526
delta = 0.000000  ,  alpha = 0.001000 ---- MSE = 0.014401
delta = 0.000000  ,  alpha = 0.000500 ---- MSE = 0.023963
delta = 0.000000  ,  alpha = 0.000100 ---- MSE = 0.006603
delta = 0.000000  ,  alpha = 0.000050 ---- MSE = 0.002084
delta = 0.000000  ,  alpha = 0.000010 ---- MSE = 0.001939
delta = 0.100000  ,  alpha = 0.100000 ---- MSE = 0.000038
delta = 0.100000  ,  alpha = 0.050000 ---- MSE = 0.000064
delta = 0.100000  ,  alpha = 0.010000 ---- MSE = 0.000263
delta = 0.100000  ,  alpha = 0.005000 ---- MSE = 0.000713
delta = 0.100000  ,  alpha = 0.001000 ---- MSE = 0.012492
delta = 0.100000  ,  alpha = 0.000500 ---- MSE = 0.011136
delta = 0.100000  ,  alpha = 0.000100 ---- MSE = 0.020138
delta = 0.100000  ,  alpha = 0.000050 ---- MSE = 0.051651
delta = 0.100000  ,  alpha = 0.000010 ---- MSE = 0.100950
delta = 0.050000  ,  alpha = 0.100000 ---- MSE = 0.000040
delta = 0.050000  ,  alpha = 0.050000 ---- MSE = 0.000069
delta = 0.050000  ,  alpha = 0.010000 ---- MSE = 0.000256
delta = 0.050000  ,  alpha = 0.005000 ---- MSE = 0.000613
delta = 0.050000  ,  alpha = 0.001000 ---- MSE = 0.013400
delta = 0.050000  ,  alpha = 0.000500 ---- MSE = 0.016800
delta = 0.050000  ,  alpha = 0.000100 ---- MSE = 0.002615
delta = 0.050000  ,  alpha = 0.000050 ---- MSE = 0.011268
delta = 0.050000  ,  alpha = 0.000010 ---- MSE = 0.030286
delta = 0.010000  ,  alpha = 0.100000 ---- MSE = 0.000042
delta = 0.010000  ,  alpha = 0.050000 ---- MSE = 0.000075
delta = 0.010000  ,  alpha = 0.010000 ---- MSE = 0.000252
delta = 0.010000  ,  alpha = 0.005000 ---- MSE = 0.000543
delta = 0.010000  ,  alpha = 0.001000 ---- MSE = 0.014193
delta = 0.010000  ,  alpha = 0.000500 ---- MSE = 0.022410
delta = 0.010000  ,  alpha = 0.000100 ---- MSE = 0.004084
delta = 0.010000  ,  alpha = 0.000050 ---- MSE = 0.001425
delta = 0.010000  ,  alpha = 0.000010 ---- MSE = 0.004223
delta = 0.005000  ,  alpha = 0.100000 ---- MSE = 0.000042
delta = 0.005000  ,  alpha = 0.050000 ---- MSE = 0.000075
delta = 0.005000  ,  alpha = 0.010000 ---- MSE = 0.000252
delta = 0.005000  ,  alpha = 0.005000 ---- MSE = 0.000534
delta = 0.005000  ,  alpha = 0.001000 ---- MSE = 0.014297
delta = 0.005000  ,  alpha = 0.000500 ---- MSE = 0.023179
delta = 0.005000  ,  alpha = 0.000100 ---- MSE = 0.005236
delta = 0.005000  ,  alpha = 0.000050 ---- MSE = 0.001598
delta = 0.005000  ,  alpha = 0.000010 ---- MSE = 0.002870
delta = 0.001000  ,  alpha = 0.100000 ---- MSE = 0.000043
