delta = 0.000000  ,  alpha = 0.100000 ---- MSE = 0.000603
delta = 0.000000  ,  alpha = 0.050000 ---- MSE = 0.001014
delta = 0.000000  ,  alpha = 0.010000 ---- MSE = 0.001928
delta = 0.000000  ,  alpha = 0.005000 ---- MSE = 0.001958
delta = 0.000000  ,  alpha = 0.001000 ---- MSE = 0.001782
delta = 0.000000  ,  alpha = 0.000500 ---- MSE = 0.002569
delta = 0.000000  ,  alpha = 0.000100 ---- MSE = 0.037724
delta = 0.000000  ,  alpha = 0.000050 ---- MSE = 0.083851
delta = 0.000000  ,  alpha = 0.000010 ---- MSE = 0.161442
delta = 0.100000  ,  alpha = 0.100000 ---- MSE = 0.001067
delta = 0.100000  ,  alpha = 0.050000 ---- MSE = 0.001743
delta = 0.100000  ,  alpha = 0.010000 ---- MSE = 0.003558
delta = 0.100000  ,  alpha = 0.005000 ---- MSE = 0.004286
delta = 0.100000  ,  alpha = 0.001000 ---- MSE = 0.009948
delta = 0.100000  ,  alpha = 0.000500 ---- MSE = 0.025729
delta = 0.100000  ,  alpha = 0.000100 ---- MSE = 0.337656
delta = 0.100000  ,  alpha = 0.000050 ---- MSE = 0.572502
delta = 0.100000  ,  alpha = 0.000010 ---- MSE = 0.900872
delta = 0.050000  ,  alpha = 0.100000 ---- MSE = 0.000792
delta = 0.050000  ,  alpha = 0.050000 ---- MSE = 0.001317
delta = 0.050000  ,  alpha = 0.010000 ---- MSE = 0.002596
delta = 0.050000  ,  alpha = 0.005000 ---- MSE = 0.002897
delta = 0.050000  ,  alpha = 0.001000 ---- MSE = 0.004345
delta = 0.050000  ,  alpha = 0.000500 ---- MSE = 0.009060
delta = 0.050000  ,  alpha = 0.000100 ---- MSE = 0.149232
delta = 0.050000  ,  alpha = 0.000050 ---- MSE = 0.272864
delta = 0.050000  ,  alpha = 0.000010 ---- MSE = 0.455650
delta = 0.010000  ,  alpha = 0.100000 ---- MSE = 0.000634
delta = 0.010000  ,  alpha = 0.050000 ---- MSE = 0.001065
delta = 0.010000  ,  alpha = 0.010000 ---- MSE = 0.002038
delta = 0.010000  ,  alpha = 0.005000 ---- MSE = 0.002110
delta = 0.010000  ,  alpha = 0.001000 ---- MSE = 0.002052
delta = 0.010000  ,  alpha = 0.000500 ---- MSE = 0.003053
delta = 0.010000  ,  alpha = 0.000100 ---- MSE = 0.053872
delta = 0.010000  ,  alpha = 0.000050 ---- MSE = 0.112803
delta = 0.010000  ,  alpha = 0.000010 ---- MSE = 0.208202
delta = 0.005000  ,  alpha = 0.100000 ---- MSE = 0.000618
delta = 0.005000  ,  alpha = 0.050000 ---- MSE = 0.001038
delta = 0.005000  ,  alpha = 0.010000 ---- MSE = 0.001982
delta = 0.005000  ,  alpha = 0.005000 ---- MSE = 0.002032
delta = 0.005000  ,  alpha = 0.001000 ---- MSE = 0.001902
delta = 0.005000  ,  alpha = 0.000500 ---- MSE = 0.002760
delta = 0.005000  ,  alpha = 0.000100 ---- MSE = 0.045413
delta = 0.005000  ,  alpha = 0.000050 ---- MSE = 0.097774
delta = 0.005000  ,  alpha = 0.000010 ---- MSE = 0.184067
delta = 0.001000  ,  alpha = 0.100000 ---- MSE = 0.000606
delta = 0.001000  ,  alpha = 0.050000 ---- MSE = 0.001018
delta = 0.001000  ,  alpha = 0.010000 ---- MSE = 0.001939
delta = 0.001000  ,  alpha = 0.005000 ---- MSE = 0.001972
delta = 0.001000  ,  alpha = 0.001000 ---- MSE = 0.001804
delta = 0.001000  ,  alpha = 0.000500 ---- MSE = 0.002599
delta = 0.001000  ,  alpha = 0.000100 ---- MSE = 0.039200
delta = 0.001000  ,  alpha = 0.000050 ---- MSE = 0.086547
delta = 0.001000  ,  alpha = 0.000010 ---- MSE = 0.165846
delta = 0.000500  ,  alpha = 0.100000 ---- MSE = 0.000605
delta = 0.000500  ,  alpha = 0.050000 ---- MSE = 0.001016
delta = 0.000500  ,  alpha = 0.010000 ---- MSE = 0.001934
delta = 0.000500  ,  alpha = 0.005000 ---- MSE = 0.001965
