delta = 0.000000  ,  alpha = 0.100000 ---- MSE = 0.000487
delta = 0.000000  ,  alpha = 0.050000 ---- MSE = 0.000594
delta = 0.000000  ,  alpha = 0.010000 ---- MSE = 0.000934
delta = 0.000000  ,  alpha = 0.005000 ---- MSE = 0.000998
delta = 0.000000  ,  alpha = 0.001000 ---- MSE = 0.002089
delta = 0.000000  ,  alpha = 0.000500 ---- MSE = 0.002833
delta = 0.000000  ,  alpha = 0.000100 ---- MSE = 0.037981
delta = 0.000000  ,  alpha = 0.000050 ---- MSE = 0.085429
delta = 0.000000  ,  alpha = 0.000010 ---- MSE = 0.162351
delta = 0.100000  ,  alpha = 0.100000 ---- MSE = 0.000927
delta = 0.100000  ,  alpha = 0.050000 ---- MSE = 0.001208
delta = 0.100000  ,  alpha = 0.010000 ---- MSE = 0.001885
delta = 0.100000  ,  alpha = 0.005000 ---- MSE = 0.002191
delta = 0.100000  ,  alpha = 0.001000 ---- MSE = 0.006160
delta = 0.100000  ,  alpha = 0.000500 ---- MSE = 0.020230
delta = 0.100000  ,  alpha = 0.000100 ---- MSE = 0.337852
delta = 0.100000  ,  alpha = 0.000050 ---- MSE = 0.566340
delta = 0.100000  ,  alpha = 0.000010 ---- MSE = 0.875168
delta = 0.050000  ,  alpha = 0.100000 ---- MSE = 0.000664
delta = 0.050000  ,  alpha = 0.050000 ---- MSE = 0.000842
delta = 0.050000  ,  alpha = 0.010000 ---- MSE = 0.001280
delta = 0.050000  ,  alpha = 0.005000 ---- MSE = 0.001403
delta = 0.050000  ,  alpha = 0.001000 ---- MSE = 0.002612
delta = 0.050000  ,  alpha = 0.000500 ---- MSE = 0.006152
delta = 0.050000  ,  alpha = 0.000100 ---- MSE = 0.149597
delta = 0.050000  ,  alpha = 0.000050 ---- MSE = 0.272202
delta = 0.050000  ,  alpha = 0.000010 ---- MSE = 0.447290
delta = 0.010000  ,  alpha = 0.100000 ---- MSE = 0.000515
delta = 0.010000  ,  alpha = 0.050000 ---- MSE = 0.000634
delta = 0.010000  ,  alpha = 0.010000 ---- MSE = 0.000983
delta = 0.010000  ,  alpha = 0.005000 ---- MSE = 0.001049
delta = 0.010000  ,  alpha = 0.001000 ---- MSE = 0.001951
delta = 0.010000  ,  alpha = 0.000500 ---- MSE = 0.002636
delta = 0.010000  ,  alpha = 0.000100 ---- MSE = 0.054173
delta = 0.010000  ,  alpha = 0.000050 ---- MSE = 0.114194
delta = 0.010000  ,  alpha = 0.000010 ---- MSE = 0.207903
delta = 0.005000  ,  alpha = 0.100000 ---- MSE = 0.000500
delta = 0.005000  ,  alpha = 0.050000 ---- MSE = 0.000613
delta = 0.005000  ,  alpha = 0.010000 ---- MSE = 0.000957
delta = 0.005000  ,  alpha = 0.005000 ---- MSE = 0.001021
delta = 0.005000  ,  alpha = 0.001000 ---- MSE = 0.002005
delta = 0.005000  ,  alpha = 0.000500 ---- MSE = 0.002681
delta = 0.005000  ,  alpha = 0.000100 ---- MSE = 0.045694
delta = 0.005000  ,  alpha = 0.000050 ---- MSE = 0.099275
delta = 0.005000  ,  alpha = 0.000010 ---- MSE = 0.184412
delta = 0.001000  ,  alpha = 0.100000 ---- MSE = 0.000489
delta = 0.001000  ,  alpha = 0.050000 ---- MSE = 0.000597
delta = 0.001000  ,  alpha = 0.010000 ---- MSE = 0.000939
delta = 0.001000  ,  alpha = 0.005000 ---- MSE = 0.001003
delta = 0.001000  ,  alpha = 0.001000 ---- MSE = 0.002070
delta = 0.001000  ,  alpha = 0.000500 ---- MSE = 0.002794
delta = 0.001000  ,  alpha = 0.000100 ---- MSE = 0.039462
delta = 0.001000  ,  alpha = 0.000050 ---- MSE = 0.088112
delta = 0.001000  ,  alpha = 0.000010 ---- MSE = 0.166649
delta = 0.000500  ,  alpha = 0.100000 ---- MSE = 0.000488
delta = 0.000500  ,  alpha = 0.050000 ---- MSE = 0.000596
delta = 0.000500  ,  alpha = 0.010000 ---- MSE = 0.000936
delta = 0.000500  ,  alpha = 0.005000 ---- MSE = 0.001000
delta = 0.000500  ,  alpha = 0.001000 ---- MSE = 0.002079
delta = 0.000500  ,  alpha = 0.000500 ---- MSE = 0.002813
delta = 0.000500  ,  alpha = 0.000100 ---- MSE = 0.038718
delta = 0.000500  ,  alpha = 0.000050 ---- MSE = 0.086765
delta = 0.000500  ,  alpha = 0.000010 ---- MSE = 0.164493
delta = 0.000100  ,  alpha = 0.100000 ---- MSE = 0.000487
delta = 0.000100  ,  alpha = 0.050000 ---- MSE = 0.000594
delta = 0.000100  ,  alpha = 0.010000 ---- MSE = 0.000935
delta = 0.000100  ,  alpha = 0.005000 ---- MSE = 0.000999
delta = 0.000100  ,  alpha = 0.001000 ---- MSE = 0.002087
delta = 0.000100  ,  alpha = 0.000500 ---- MSE = 0.002829
delta = 0.000100  ,  alpha = 0.000100 ---- MSE = 0.038128
delta = 0.000100  ,  alpha = 0.000050 ---- MSE = 0.085695
delta = 0.000100  ,  alpha = 0.000010 ---- MSE = 0.162778
delta = 0.000050  ,  alpha = 0.100000 ---- MSE = 0.000487
delta = 0.000050  ,  alpha = 0.050000 ---- MSE = 0.000594
