Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
10/7/2016,578.85,583.4,566.5,572,570.05,1317543,7537.75
10/6/2016,592.5,596.8,576.85,578,578.8,1504743,8815.82
10/5/2016,600,600.15,590,590.5,591.65,961556,5713.95
10/4/2016,590.3,603.85,590.3,599.35,597.8,1656807,9880.85
10/3/2016,584.7,591.7,582.2,590.5,588.85,1146677,6729.01
9/30/2016,601.85,603.9,562.25,579.7,580.05,6967821,40393.04
9/29/2016,608,611,585.75,604,602.85,2252434,13523.47
9/28/2016,608.7,612.4,602.25,606.5,605.8,1561039,9468.69
9/27/2016,604,610.3,601.85,606.45,607.2,1443938,8776.82
9/26/2016,609,615,603,607.5,604.5,1796225,10917.2
9/23/2016,609,617.8,604.7,611.05,611.55,1225528,7515.77
9/22/2016,605,610.95,603.9,609.4,609.1,1926725,11715.26
9/21/2016,602.85,607,597.1,600.6,601.35,1578461,9500.98
9/20/2016,598.7,607.5,596,602.15,602.85,2209606,13317.58
9/19/2016,594.9,600,593.25,597.5,597.8,1213754,7247.22
9/16/2016,587.1,596,586.1,592.75,593.55,2145891,12692.17
9/15/2016,579,591,576.85,585.95,585.4,1294197,7593.39
9/14/2016,570,583.7,569.8,579,577.5,1579482,9132.41
9/12/2016,572.2,579.2,562.3,570.5,570.1,1296182,7435.11
9/9/2016,595.1,595.6,578,581.45,580.5,1513978,8870.51
9/8/2016,581.2,598.4,581.2,594.5,595.15,1573263,9298.11
9/7/2016,580.05,585.95,575.1,582.05,580.75,1786522,10396.31
9/6/2016,585,586.3,576,578.15,578.6,1189215,6884.75
9/2/2016,580.3,581.1,571.5,578,577.95,880437,5067.67
9/1/2016,575,581.3,571,578,579.15,960422,5533.45
8/31/2016,581.05,587.5,570,574.55,572.95,3596264,20773.6
8/30/2016,570,581.45,567.7,580.3,576.1,1075723,6159.93
8/29/2016,568.3,570.35,562.9,569.3,568,1085860,6138.7
8/26/2016,567.5,571.7,562.35,567.2,567.25,2196070,12489.7
8/25/2016,570,574.55,560,561.6,562.9,3471437,19701.07
8/24/2016,559.8,572,553.85,566.9,567.2,2340210,13270.05
8/23/2016,557.6,557.75,552.05,555,555.65,874783,4854.27
8/22/2016,557,564.9,552.3,557.25,557.6,1218782,6808.4
8/19/2016,552.85,560.55,552.5,556,556.8,1598177,8906.53
8/18/2016,553.7,557.5,548,551.05,552.65,1434412,7927.5
8/17/2016,552,564,547.2,549.3,549.85,3819727,21191.58
8/16/2016,510.2,557.55,510.2,554,554.15,8817547,47595.04
8/12/2016,524,526.4,512.1,512.9,515.95,2124886,11007.66
8/11/2016,521.5,525.5,517.9,524.45,523.95,761596,3977.33
8/10/2016,532.5,533.95,519.5,520.95,521.25,809814,4251.7
8/9/2016,537.8,540,530.15,532,532.95,886532,4737.91
8/8/2016,533.9,541.2,531.95,535,535.4,852842,4579.59
8/5/2016,530.9,534.6,527.25,531.9,533.25,699384,3713.64
8/4/2016,531.2,534,523,527.95,526.95,1564658,8276.45
8/3/2016,517,534.9,515.3,527.9,529.45,1846161,9749.06
8/2/2016,525.1,529.95,516.2,519.9,517.9,1009436,5279.1
8/1/2016,528.8,535,521.5,525.1,524.05,955999,5040.52
7/29/2016,522.4,535.5,520,528.25,527.4,1785352,9465.85
7/28/2016,523.9,527.95,519,520.1,520.65,1347889,7038.25
7/27/2016,523,529.15,516.95,523.35,523.15,894972,4677.74
7/26/2016,527.5,530.15,521.75,525,523.55,2105457,11106.51
7/25/2016,514.05,526.5,513,524.4,524.6,1337348,7004.11
7/22/2016,516,522.9,512.35,522.35,520.4,1188747,6157.72
7/21/2016,522.5,526.95,514,514.7,515.85,2274652,11857.37
7/20/2016,507.45,519.4,505.25,518.45,517.85,3584904,18285.44
7/19/2016,507,510.4,500.55,507.15,505.8,1027246,5198.99
7/18/2016,517.05,517.3,505.3,506.8,506.95,1459230,7457.79
7/15/2016,513.95,518.9,510.2,516.1,516.4,1004156,5178.1
7/14/2016,515.9,516.6,507,511.05,511.95,1257722,6428.74
7/13/2016,516,519.45,511.2,514.3,514.6,1202156,6193.12
7/12/2016,522.5,522.9,514.1,515.4,515.7,891315,4602.37
7/11/2016,525.4,528.25,520,520.9,522,1441960,7541.61
7/8/2016,518,522.45,513.05,521.05,520.3,1828792,9488.42
7/7/2016,505.5,517.35,504.05,517.1,514.3,2078580,10657.74
7/5/2016,510.2,511.1,502.7,507.25,507,689915,3495.9
7/4/2016,510.7,513.4,508.1,510,510.2,1055119,5390.11
7/1/2016,502,510,499.85,509.4,508.6,1008068,5102.56
6/30/2016,505,506.8,499.45,500.8,501,2152521,10828.19
6/29/2016,498.8,504,496.05,501.6,502.45,1048438,5259.55
6/28/2016,490,499,486.55,496.55,497.35,1775304,8765.48
6/27/2016,475,491,474,490.6,489.05,2362093,11333.91
6/24/2016,468,478,459.6,476.5,476.55,1875935,8818.52
6/23/2016,481.1,483,474.65,476,475.75,1918112,9149.34
6/22/2016,483.85,486.5,480,482.9,482.45,673949,3251.88
6/21/2016,490,490,480.3,482,483.4,861422,4172.36
6/20/2016,486.65,490.9,482.55,488.1,488.25,1026672,5008.68
6/17/2016,487,490,484.05,484.15,486.45,593507,2891.36
6/16/2016,487.8,488.85,479.35,485.5,486.65,1239939,6006.39
6/15/2016,485.9,492.55,483.8,488,490.05,1860880,9094.47
6/14/2016,470.1,484,469.55,483,482.7,2522251,12063.98
6/13/2016,474.95,479.9,465.55,468.4,468.7,1271568,5981.68
6/10/2016,475,486.6,474.5,477.9,476.45,1704257,8194.23
6/9/2016,473.55,481.95,469.1,479.95,479.1,1695845,8095.49
6/8/2016,471.85,474,468,473,472.15,811331,3825.84
6/7/2016,466.65,471.9,466.65,468.05,468.35,1797918,8438.31
6/6/2016,468.95,471.5,465.4,467,466.65,1409144,6604
6/3/2016,470.5,473.95,462.3,463.9,465.2,1318109,6181.65
6/2/2016,464.45,470,459,467.65,468.1,1354914,6302.94
6/1/2016,474.7,474.7,462.75,463,464.9,1247617,5861.92
5/31/2016,475.4,479.25,471,472.45,472.65,2368362,11228.91
5/30/2016,476.95,478.5,470,473.6,473.55,1183625,5617.25
5/27/2016,470.9,478.5,469.1,473.45,473.45,2638981,12502.95
5/26/2016,472.7,473.9,466,468.85,467.95,4432025,20774.9
5/25/2016,480,480,457.45,472.2,469.8,15183389,71096.05
5/24/2016,499.95,505.2,491.55,495,494.05,2526624,12593.56
5/23/2016,510,510,494.8,495.1,497.4,2021694,10141.9
5/20/2016,514.3,515.25,501.2,506.8,507.1,1700932,8610.52
5/19/2016,524.1,525.9,510.2,512.05,512.7,1062398,5488.71
5/18/2016,522.55,526.75,520.05,524.15,524.55,653047,3415.84
5/17/2016,523,528.65,522.5,524,523.75,679688,3568.43
5/16/2016,533.85,533.85,520.35,521.9,521.8,883516,4636.41
5/13/2016,534.45,538.7,530.05,530.2,531.7,891484,4748.95
5/12/2016,536.95,542.45,534.35,535.2,536.3,670055,3609.7
5/11/2016,532,539.5,530.75,535.15,536.6,943441,5058.86
5/10/2016,537,539.5,532.75,535.7,537.05,669096,3586.11
5/9/2016,538.3,540.2,533.25,536.45,536.55,727957,3905.54
5/6/2016,540,542.75,535.1,537.3,537.35,511789,2751.78
5/5/2016,535.5,544,533.5,543.05,541.8,1025103,5530.04
5/4/2016,534,541.35,529,532.2,533.2,785756,4210.08
5/3/2016,540,547,526.55,536.05,536.85,1524809,8224.23
5/2/2016,536.95,544.6,535,538.95,540.65,1336667,7238.57
4/29/2016,527.2,538.4,527.1,537.5,537,932705,4989.99
4/28/2016,538.9,543.75,525,530.1,528.25,3088525,16430.26
4/27/2016,539.5,544.3,534.5,539,540.2,1456338,7853.15
4/26/2016,524.65,542.25,524.15,537.8,540.5,1855477,9928.8
4/25/2016,532.5,533.85,523.5,527,526.5,1959119,10312.12
4/22/2016,529.7,536.55,527,531.05,531.35,1880283,10017.87
4/21/2016,530,534,526.6,529.25,532,3392813,17990.67
4/20/2016,525,530.4,519.25,527,527.2,2898556,15251.97
4/18/2016,515,525.7,507.1,524.2,524.1,3507933,18256.39
4/13/2016,505.15,515,504,511.9,511.9,3642720,18541.36
4/12/2016,502.7,508.85,499.7,502.25,501.95,3622355,18307.5
4/11/2016,505.5,506,497.05,503,502.15,2929584,14651.59
4/8/2016,509.8,510.6,503.25,505,504.45,1262329,6393.28
4/7/2016,505.75,513.05,501.7,507,506.4,2102922,10698.3
4/6/2016,503.35,507.5,497,505.75,504.95,1820374,9118.65
4/5/2016,513,516,501.45,503.25,503,1086907,5522.57
4/4/2016,519,519,512.15,512.9,514.3,768318,3957.97
4/1/2016,513.8,517.3,510,514,514.55,1239447,6379.72
3/31/2016,513,518,507.9,513.9,511.95,3086978,15839.07
3/30/2016,506.95,516.5,502.5,515.55,512.35,4372138,22175.4
3/29/2016,521.05,525,494.55,502.65,503.5,6503207,33015.14
3/28/2016,536.3,537.35,522.1,524.5,524.2,1947564,10297.77
3/23/2016,534.8,536.3,525.55,532.7,532.8,1361735,7245.84
3/22/2016,537.5,539,531.05,536.75,535.3,1529194,8164.26
3/21/2016,530,538.4,527.5,536.3,535.85,1221223,6509.29
3/18/2016,529,530.05,517.5,528.95,528.25,4345885,22832.77
3/17/2016,536.3,537,521.55,524,524.55,2100095,11122.19
3/16/2016,524.9,534.8,516.2,533.75,531,2221318,11662.84
3/15/2016,538.6,539,522,524.9,525.05,2961527,15681.75
3/14/2016,538,543.75,530.1,537.55,537.6,3909833,21023.01
3/11/2016,534.5,538.55,530.95,534.3,534.6,2806975,15015.78
3/10/2016,530.2,540.2,530,533.95,533.95,3609343,19276.87
3/9/2016,533.85,535,521.35,527.95,529.3,4376676,23051.75
3/8/2016,539.8,549.7,528.8,533.95,532.35,1409496,7579.59
3/4/2016,533.7,545.6,530.25,538,537.7,2693406,14548.22
3/3/2016,530,531,523.4,527.25,527.1,3101778,16343.08
3/2/2016,523.5,532,519.4,526.6,525.6,3422308,17967.15
3/1/2016,515,521.4,509.6,516.45,516.35,2146110,11086.28
2/29/2016,528,528,505,512.05,514.15,3487816,17935.25
2/26/2016,522.85,527.75,519,525.15,524,1985528,10402.6
2/25/2016,518,521.8,510,519.95,519,2723564,14114.7
2/24/2016,522.2,523.05,510.5,516.9,513.95,1836770,9456.99
2/23/2016,531.9,532.9,517.5,523.05,522.6,1047760,5492.96
2/22/2016,529.35,531.85,525,530.1,530.5,1236400,6550.94
2/19/2016,525.95,531,519.2,525,524.65,1054082,5533.38
2/18/2016,527.1,529.4,520.6,523.5,524.4,1967772,10315.04
2/17/2016,526,526.5,513.4,520.25,519.1,1924596,9974.67
2/16/2016,545.95,549.5,520.45,524.65,524.05,2664696,14208.91
2/15/2016,533.05,542,528.5,540.3,539.7,2467275,13245
2/12/2016,543,543.55,525.05,529,528.6,1981976,10574.82
2/11/2016,530,548.7,517.3,543,540.85,5647601,30230.87
2/10/2016,555,558.95,534,534.95,538.6,2425499,13207.19
2/9/2016,564.9,571.2,551.1,556,555.85,1357674,7554.51
2/8/2016,574.95,575.75,561.1,567.5,566.85,1264314,7162.68
2/5/2016,555,573.3,544.1,571.9,570.15,864080,4846.05
2/4/2016,567,570.4,540.05,551,550.4,1614064,8890.45
2/3/2016,570,578.8,559.4,566,562.05,1188642,6755.29
2/2/2016,601,606.05,562,577.4,574,1779141,10378.2
2/1/2016,591.9,605.95,589.15,597,599.45,1045333,6278.99
1/29/2016,579.95,592,578.1,590.5,585.1,1146060,6681.69
1/28/2016,581,585.5,575,577.2,577.8,1336930,7746.91
1/27/2016,582,587.65,572.3,580.3,580.5,982504,5713.52
1/25/2016,590,590,579.2,581,580.6,910559,5328.44
1/22/2016,582.8,588.5,577.4,584.8,581.9,1297154,7562.68
1/21/2016,600.25,601.45,576.55,577.2,580.25,1452498,8551.78
1/20/2016,594.8,603.15,588,593.5,593.15,1002709,5948.97
1/19/2016,590.35,600.8,583,598,598.05,849433,5035.8
1/18/2016,608,608.05,586.4,591,591.05,1435098,8564.67
1/15/2016,616,616.95,602.35,604.9,609.1,1119442,6834.33
1/14/2016,603.4,617.05,596.75,613.2,614.3,986574,6014.05
1/13/2016,615.25,615.95,596.1,607.2,608.65,794118,4840.13
1/12/2016,609,616.9,605.7,612.45,611.45,1278522,7817.35
1/11/2016,617.4,617.4,604.25,610.5,610.05,1668698,10159.67
1/8/2016,637.3,645,614,624,622.35,1553402,9710.31
1/7/2016,648,650,629,629.7,637.45,732335,4711.22
1/6/2016,639.7,655.95,638.7,650.55,652.1,1234096,8010.05
1/5/2016,646.2,649.95,638.05,639.7,640.85,642269,4140.14
1/4/2016,652.05,653.8,639.4,645,645.65,631534,4076.91
1/1/2016,653.2,658.45,648.5,654.25,655.35,556012,3640.89
12/31/2015,653,655,647.2,652.7,649.75,765254,4982.68
12/30/2015,653.8,657,650.1,652.05,653.2,587218,3842.38
12/29/2015,660,660,652,653.1,653.85,472504,3095.62
12/28/2015,648.15,659.45,647.3,655.5,657.6,793844,5198.09
12/24/2015,648.8,654.4,645.2,648,648.2,395801,2572.5
12/23/2015,646,649.4,644.5,647.8,647.45,342498,2216.31
12/22/2015,643.95,648,641.5,645.25,644.2,508379,3278.06
12/21/2015,649.8,649.8,641.1,644.25,643.7,738842,4769.48
12/18/2015,642.8,649.3,640.1,641.15,642.1,995474,6413.37
12/17/2015,639,644.95,636.3,642.5,642.9,1333918,8562.78
12/16/2015,642.95,643.95,637.1,637.65,638.65,1166504,7465.1
12/15/2015,637.05,641.5,636.55,638.95,638.9,948636,6062.94
12/14/2015,637.9,643.8,631.05,637.15,637.05,721113,4598.88
12/11/2015,636.55,642.95,630.75,639,639.25,1104857,7036.92
12/10/2015,625.05,640.85,622,638,636.8,1030589,6511.94
12/9/2015,642.05,644.9,620,621.85,623.8,1044192,6589.34
12/8/2015,642,648.5,638.4,640.55,642.6,730708,4700.92
12/7/2015,647.95,654,640.1,645.5,645.2,921343,5948.64
