Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2016-10-06,8768.7,8781.15,8684.65,8709.55,,
2016-10-05,8806.35,8806.95,8731.4,8743.95,,
2016-10-04,8770.0,8783.65,8736.1,8769.15,,
2016-10-03,8666.15,8745.2,8635.0,8738.1,,
2016-09-30,8581.5,8637.15,8555.2,8611.15,187333285.0,8849.27
2016-09-29,8792.7,8800.65,8558.25,8591.25,384395249.0,19467.3
2016-09-27,8748.9,8768.5,8690.5,8706.4,156100521.0,7446.12
2016-09-26,8807.9,8809.55,8715.1,8723.05,169050086.0,8518.5
2016-09-23,8880.75,8885.2,8820.3,8831.55,,
2016-09-22,8873.35,8893.35,8837.8,8867.45,178136644.0,9305.56
2016-09-21,8790.3,8826.85,8757.3,8777.15,153441330.0,7572.41
2016-09-20,8816.1,8816.45,8759.3,8775.9,140718486.0,7035.07
2016-09-19,8788.45,8824.3,8774.2,8808.4,135814177.0,7364.64
2016-09-16,8780.85,8847.65,8750.5,8779.85,274039556.0,14430.63
2016-09-15,8743.85,8751.95,8704.35,8742.55,149889703.0,7347.34
2016-09-14,8710.65,8739.85,8688.9,8726.6,189984289.0,9112.57
2016-09-12,8732.95,8746.95,8699.4,8715.6,190199613.0,9248.73
2016-09-09,8934.3,8939.15,8858.7,8866.7,181344327.0,9976.28
2016-09-08,8915.5,8960.35,8896.0,8952.5,,
2016-09-07,8968.7,8968.7,8913.35,8917.95,299145644.0,11430.95
2016-09-06,8852.7,8950.85,8848.45,8943.0,201617132.0,9571.31
2016-09-02,8796.35,8824.1,8768.2,8809.65,,
2016-09-01,8793.6,8813.25,8759.95,8774.65,246336047.0,9653.93
2016-08-31,8754.05,8819.2,8754.05,8786.2,373422334.0,22534.29
2016-08-30,8646.75,8750.6,8642.25,8744.35,,
2016-08-26,8614.35,8622.95,8547.55,8572.55,152146666.0,7153.37
2016-08-25,8668.85,8683.05,8583.65,8592.2,219736214.0,10508.32
2016-08-24,8648.5,8661.05,8620.9,8650.3,154168043.0,7199.72
2016-08-23,8628.35,8642.15,8580.0,8632.6,193302503.0,7309.82
2016-08-22,8667.0,8684.85,8614.0,8629.15,156976546.0,7394.57
2016-08-19,8694.3,8696.6,8647.1,8666.9,197770568.0,8354.88
2016-08-18,8648.85,8690.7,8645.05,8673.25,169431656.0,7900.6
2016-08-17,8639.8,8667.1,8603.6,8624.05,179540691.0,8161.38
2016-08-16,8670.25,8682.35,8600.45,8642.55,,
2016-08-12,8605.45,8684.3,8604.45,8672.15,272014034.0,11998.86
2016-08-11,8572.8,8601.15,8540.05,8592.15,195114539.0,8634.8
2016-08-10,8686.7,8690.1,8564.6,8575.3,178963496.0,8206.18
2016-08-09,8727.8,8728.35,8638.2,8678.25,206261255.0,9111.4
2016-08-08,8712.85,8723.5,8697.6,8711.35,177877012.0,7862.15
2016-08-05,8600.2,8689.4,8590.15,8683.15,162784913.0,7635.01
2016-08-04,8599.95,8601.4,8518.15,8551.1,169780463.0,7399.03
2016-08-03,8635.2,8635.45,8529.6,8544.85,168033073.0,8507.82
2016-08-02,8647.45,8687.2,8611.4,8622.9,174556789.0,8652.31
2016-08-01,8654.3,8711.3,8590.5,8636.55,,
2016-07-29,8668.3,8670.35,8631.15,8638.5,161935155.0,8428.8
2016-07-28,8636.95,8674.7,8625.25,8666.3,240721865.0,12998.06
2016-07-26,8633.75,8644.9,8577.15,8590.65,,
2016-07-25,8519.95,8641.15,8517.2,8635.65,154631398.0,7850.12
2016-07-22,8519.65,8548.95,8489.8,8541.2,,
2016-07-21,8582.7,8585.25,8503.45,8510.1,154575685.0,7399.71
2016-07-20,8515.45,8569.9,8512.55,8565.85,165349380.0,7936.36
2016-07-19,8514.3,8540.05,8476.7,8528.55,173050805.0,7928.14
2016-07-18,8564.05,8587.1,8494.35,8508.7,169400452.0,8200.06
2016-07-15,8565.45,8594.8,8510.05,8541.4,228598684.0,12375.84
2016-07-14,8515.75,8571.4,8500.7,8565.0,158738499.0,6890.07
2016-07-13,8540.45,8550.25,8493.55,8519.5,201492184.0,8284.38
2016-07-12,8502.6,8526.6,8479.2,8521.05,189339750.0,7873.74
2016-07-11,8413.35,8475.25,8407.05,8467.9,154399933.0,7576.69
2016-07-08,8350.0,8353.3,8287.55,8323.2,142159935.0,6886.33
2016-07-07,8342.0,8361.95,8317.7,8337.9,160327315.0,7592.94
2016-07-05,8379.3,8381.45,8319.95,8335.95,143253937.0,5976.01
2016-07-04,8376.75,8398.45,8364.7,8370.7,,
2016-06-30,8260.25,8308.15,8242.1,8287.75,,
